departure_airport,arrival_airport
Jingdezhen Airport,Fuzhou Changle International Airport
Jingdezhen Airport,Shanghai Hongqiao International Airport
Jingdezhen Airport,Shenzhen Bao'an International Airport
Jingdezhen Airport,Xi'an Xianyang International Airport
Quanzhou Jinjiang International Airport,Shanghai Pudong International Airport
Quzhou Airport,Shenzhen Bao'an International Airport
Jinnah International Airport,Chengdu Shuangliu International Airport
Korla Airport,Chengdu Shuangliu International Airport
Lijiang Airport,Chengdu Shuangliu International Airport
Shubuling Airport,Guangzhou Baiyun International Airport
Shubuling Airport,Taoxian Airport
Macau International Airport,Wuhan Tianhe International Airport
Beijing Capital International Airport,Yichun Mingyueshan Airport
Gimhae International Airport,Hangzhou Xiaoshan International Airport
Shanghai Pudong International Airport,Quanzhou Jinjiang International Airport
Shanghai Hongqiao International Airport,Jingdezhen Airport
Taoxian Airport,Changzhou Benniu Airport
Taoxian Airport,Baita International Airport
Taoxian Airport,Shubuling Airport
Taoxian Airport,Wenzhou Longwan International Airport
Sanya Phoenix International Airport,Sunan Shuofang International Airport
Shenzhen Bao'an International Airport,Changzhou Benniu Airport
Shenzhen Bao'an International Airport,Jingdezhen Airport
Shenzhen Bao'an International Airport,Quzhou Airport
Shenzhen Bao'an International Airport,Yuncheng Guangong Airport
Shenzhen Bao'an International Airport,Yichun Mingyueshan Airport
Taiyuan Wusu Airport,Taiping Airport
Urumqi Diwopu International Airport,Yuncheng Guangong Airport
Wenzhou Longwan International Airport,Taoxian Airport
Wuhan Tianhe International Airport,Chiang Mai International Airport
Wuhan Tianhe International Airport,Baita International Airport
Wuhan Tianhe International Airport,Macau International Airport
Wuhan Tianhe International Airport,Xining Caojiabu Airport
Sunan Shuofang International Airport,Sanya Phoenix International Airport
Xi'an Xianyang International Airport,Jingdezhen Airport
Xi'an Xianyang International Airport,Yantai Laishan Airport
Xi'an Xianyang International Airport,Yangzhou Taizhou Airport
Xiamen Gaoqi International Airport,Yangzhou Taizhou Airport
Xining Caojiabu Airport,Wuhan Tianhe International Airport
Yuncheng Guangong Airport,Hangzhou Xiaoshan International Airport
Yuncheng Guangong Airport,Shenzhen Bao'an International Airport
Yuncheng Guangong Airport,Urumqi Diwopu International Airport
Yichun Mingyueshan Airport,Beijing Capital International Airport
Yichun Mingyueshan Airport,Shenzhen Bao'an International Airport
Yantai Laishan Airport,Xi'an Xianyang International Airport
Yangzhou Taizhou Airport,Xi'an Xianyang International Airport
Yangzhou Taizhou Airport,Xiamen Gaoqi International Airport
Jardines Del Rey Airport,Juan Gualberto Gomez International Airport
Ignacio Agramonte International Airport,Jose Marti International Airport
Ignacio Agramonte International Airport,Montreal / Pierre Elliott Trudeau International Airport
Ignacio Agramonte International Airport,Lester B. Pearson International Airport
Vilo Acuna International Airport,Jose Marti International Airport
Vilo Acuna International Airport,Antonio Maceo International Airport
Jose Marti International Airport,Ignacio Agramonte International Airport
Jose Marti International Airport,Abel Santamaria Airport
Antonio Maceo International Airport,Montreal / Pierre Elliott Trudeau International Airport
Montreal / Pierre Elliott Trudeau International Airport,Jardines Del Rey Airport
Montreal / Pierre Elliott Trudeau International Airport,Ignacio Agramonte International Airport
Montreal / Pierre Elliott Trudeau International Airport,Vilo Acuna International Airport
Lester B. Pearson International Airport,Ignacio Agramonte International Airport
Netaji Subhash Chandra Bose International Airport,Hong Kong International Airport
Jeju International Airport,Hong Kong International Airport
Chiang Mai International Airport,Hong Kong International Airport
Da Nang International Airport,Hong Kong International Airport
Hamad International Airport,Geneva Cointrin International Airport
Hamad International Airport,Venice Marco Polo Airport
Geneva Cointrin International Airport,Hamad International Airport
Hong Kong International Airport,Netaji Subhash Chandra Bose International Airport
Hong Kong International Airport,Jeju International Airport
Hong Kong International Airport,Chiang Mai International Airport
Hong Kong International Airport,Da Nang International Airport
Hong Kong International Airport,Khabarovsk-Novy Airport
Hong Kong International Airport,Vladivostok International Airport
Khabarovsk-Novy Airport,Hong Kong International Airport
Venice Marco Polo Airport,Hamad International Airport
Vladivostok International Airport,Hong Kong International Airport
Amsterdam Airport Schiphol,Larnaca International Airport
Abu Dhabi International Airport,Larnaca International Airport
Heraklion International Nikos Kazantzakis Airport,Larnaca International Airport
Larnaca International Airport,Amsterdam Airport Schiphol
Larnaca International Airport,Abu Dhabi International Airport
Larnaca International Airport,Heraklion International Nikos Kazantzakis Airport
Larnaca International Airport,Zurich Airport
Zurich Airport,Larnaca International Airport
Anshan Air Base,Beijing Capital International Airport
Baotou Airport,Changsha Huanghua International Airport
Bijie Feixiong Airport,Shenzhen Bao'an International Airport
Suvarnabhumi Airport,Changsha Huanghua International Airport
Guangzhou Baiyun International Airport,Changzhi Airport
Guangzhou Baiyun International Airport,Changsha Huanghua International Airport
Guangzhou Baiyun International Airport,Dayong Airport
Guangzhou Baiyun International Airport,Penang International Airport
Guangzhou Baiyun International Airport,Tunxi International Airport
Guangzhou Baiyun International Airport,Xuzhou Guanyin Airport
Zhengzhou Xinzheng International Airport,Nanyang Jiangying Airport
Longjia Airport,Hefei Luogang International Airport
Longjia Airport,Nanchang Changbei International Airport
Longjia Airport,Taiwan Taoyuan International Airport
Changzhi Airport,Guangzhou Baiyun International Airport
Changzhi Airport,Datong Airport
Jeju International Airport,Taiping Airport
Jeju International Airport,Shenzhen Bao'an International Airport
Changsha Huanghua International Airport,Baotou Airport
Changsha Huanghua International Airport,Suvarnabhumi Airport
Changsha Huanghua International Airport,Guangzhou Baiyun International Airport
Changsha Huanghua International Airport,Changzhou Benniu Airport
Changsha Huanghua International Airport,Dayong Airport
Changsha Huanghua International Airport,Zhijiang Airport
Changsha Huanghua International Airport,Shijiazhuang Daguocun International Airport
Changsha Huanghua International Airport,Tunxi International Airport
Changsha Huanghua International Airport,Xining Caojiabu Airport
Changsha Huanghua International Airport,Yangzhou Taizhou Airport
Changzhou Benniu Airport,Changsha Huanghua International Airport
Datong Airport,Changzhi Airport
Dandong Airport,Shanghai Pudong International Airport
Zhoushuizi Airport,Baita International Airport
Zhoushuizi Airport,Tunxi International Airport
Zhoushuizi Airport,Yangzhou Taizhou Airport
Ngurah Rai (Bali) International Airport,Shenzhen Bao'an International Airport
Dayong Airport,Guangzhou Baiyun International Airport
Dayong Airport,Changsha Huanghua International Airport
Dayong Airport,Taiyuan Wusu Airport
Heihe Airport,Taiping Airport
Baita International Airport,Zhoushuizi Airport
Hefei Luogang International Airport,Longjia Airport
Zhijiang Airport,Changsha Huanghua International Airport
Hong Kong International Airport,Taoxian Airport
Taiping Airport,Jeju International Airport
Taiping Airport,Heihe Airport
Taiping Airport,Niigata Airport
Taiping Airport,Lindu Airport
Taiping Airport,Yuncheng Guangong Airport
Taiping Airport,Yangzhou Taizhou Airport
Zhoushan Airport,Lianyungang Airport
Zhoushan Airport,Shenzhen Bao'an International Airport
Jiamusi Airport,Shanghai Pudong International Airport
Jixi Xingkaihu Airport,Taoxian Airport
Nanchang Changbei International Airport,Longjia Airport
Niigata Airport,Taiping Airport
Kansai International Airport,Taoxian Airport
Ganzhou Airport,Shenzhen Bao'an International Airport
Lindu Airport,Taiping Airport
Lianyungang Airport,Guangzhou Baiyun International Airport
Lianyungang Airport,Zhoushan Airport
Mudanjiang Hailang International Airport,Shanghai Pudong International Airport
Qiqihar Sanjiazi Airport,Shanghai Pudong International Airport
Nanyang Jiangying Airport,Zhengzhou Xinzheng International Airport
Beijing Capital International Airport,Anshan Air Base
Penang International Airport,Guangzhou Baiyun International Airport
Gimhae International Airport,Taoxian Airport
Shanghai Pudong International Airport,Dandong Airport
Shanghai Pudong International Airport,Jiamusi Airport
Shanghai Pudong International Airport,Mudanjiang Hailang International Airport
Shanghai Pudong International Airport,Qiqihar Sanjiazi Airport
Shanghai Pudong International Airport,Urumqi Diwopu International Airport
Shanghai Pudong International Airport,Yanji Chaoyangchuan Airport
Taoxian Airport,Hong Kong International Airport
Taoxian Airport,Jixi Xingkaihu Airport
Taoxian Airport,Kansai International Airport
Taoxian Airport,Gimhae International Airport
Shijiazhuang Daguocun International Airport,Changsha Huanghua International Airport
Sanya Phoenix International Airport,Yuncheng Guangong Airport
Sanya Phoenix International Airport,Yangzhou Taizhou Airport
Shenzhen Bao'an International Airport,Bijie Feixiong Airport
Shenzhen Bao'an International Airport,Jeju International Airport
Shenzhen Bao'an International Airport,Ngurah Rai (Bali) International Airport
Shenzhen Bao'an International Airport,Zhoushan Airport
Shenzhen Bao'an International Airport,Ganzhou Airport
Shenzhen Bao'an International Airport,Zunyi Xinzhou Airport
Liuting Airport,Tunxi International Airport
Taiwan Taoyuan International Airport,Longjia Airport
Tunxi International Airport,Guangzhou Baiyun International Airport
Tunxi International Airport,Changsha Huanghua International Airport
Tunxi International Airport,Zhoushuizi Airport
Tunxi International Airport,Liuting Airport
Taiyuan Wusu Airport,Dayong Airport
Urumqi Diwopu International Airport,Shanghai Pudong International Airport
Xi'an Xianyang International Airport,Yan'an Ershilipu Airport
Xining Caojiabu Airport,Changsha Huanghua International Airport
Xuzhou Guanyin Airport,Lianyungang Airport
Yuncheng Guangong Airport,Taiping Airport
Yuncheng Guangong Airport,Sanya Phoenix International Airport
